X1,X2,X3,y
50,17,34,2278
9,84,96,8928
4,76,24,1920
30,72,55,5610
38,86,78,9672
73,47,49,5880
59,20,80,6320
8,9,97,1649
11,6,53,901
64,34,45,4410
43,71,80,9120
25,8,83,2739
70,44,32,3648
15,64,32,2528
83,58,91,12831
90,11,41,4141
57,95,35,5320
94,39,14,1862
82,56,12,1656
78,26,45,4680
43,60,2,206
65,98,37,6031
16,11,62,1674
51,54,63,6615
79,50,17,2193
85,64,22,3278
6,1,88,616
10,95,4,420
88,34,48,5856
23,46,71,4899
7,96,91,9373
44,32,89,6764
57,3,3,180
7,84,57,5187
30,68,78,7644
50,37,75,6525
50,39,77,6853
42,15,73,4161
27,88,85,9775
37,22,42,2478
19,28,0,0
62,11,62,4526
57,28,21,1785
52,58,22,2420
92,14,21,2226
2,52,97,5238
20,38,0,0
13,87,2,200
15,20,65,2275
62,47,37,4033
71,22,0,0
49,9,16,928
75,43,7,826
92,97,89,16821
33,34,29,1943
4,75,44,3476
45,91,63,8568
19,87,87,9222
4,66,51,3570
12,89,46,4646
84,52,31,4216
11,73,79,6636
27,45,27,1944
14,99,64,7232
65,56,21,2541
72,73,12,1740
18,94,70,7840
43,40,38,3154
43,23,12,792
56,47,13,1339
35,21,42,2352
31,97,40,5120
44,5,82,4018
37,33,79,5530
21,84,82,8610
96,53,76,11324
6,92,9,882
51,65,87,10092
68,88,81,12636
15,52,52,3484
23,78,58,5858
60,9,30,2070
19,68,85,7395
99,77,27,4752
97,13,15,1650
5,76,79,6399
76,89,38,6270
47,36,74,6142
22,69,32,2912
91,31,78,9516
65,56,8,968
11,91,98,9996
14,57,47,3337
46,12,57,3306
94,68,20,3240
79,58,37,5069
50,2,27,1404
5,7,58,696
26,37,96,6048
61,84,27,3915
34,55,96,8544
59,97,73,11388
20,19,79,3081
84,53,75,10275
96,36,53,6996
79,62,69,9729
0,78,11,858
56,20,9,684
20,6,92,2392
78,0,42,3276
86,47,79,10507
46,15,86,5246
55,64,5,595
66,80,25,3650
38,98,6,816
88,71,60,9540
38,25,32,2016
68,69,55,7535
26,63,28,2492
95,34,71,9159
81,92,88,15224
94,7,49,4949
66,77,50,7150
55,5,44,2640
86,54,17,2380
54,14,1,68
46,60,71,7526
60,45,95,9975
57,15,85,6120
11,47,46,2668
33,10,50,2150
7,99,81,8586
91,31,6,732
21,25,54,2484
85,46,72,9432
20,61,52,4212
57,32,3,267
22,49,49,3479
93,36,54,6966
17,47,21,1344
16,42,77,4466
41,27,8,544
0,29,25,725
45,93,30,4140
37,34,93,6603
42,85,66,8382
6,29,29,1015
38,5,8,344
94,48,47,6674
45,41,26,2236
73,80,58,8874
89,88,55,9735
71,84,61,9455
28,28,55,3080
51,6,38,2166
80,31,72,7992
72,45,5,585
57,89,86,12556
85,71,62,9672
59,83,69,9798
34,40,2,148
15,85,20,2000
56,22,0,0
62,36,58,5684
4,67,46,3266
91,59,17,2550
1,15,61,976
74,33,67,7169
12,76,92,8096
94,19,6,678
58,75,80,10640
5,85,55,4950
29,0,76,2204
78,99,63,11151
24,88,86,9632
89,91,67,12060
90,39,74,9546
3,13,60,960
32,16,57,2736
92,99,72,13752
29,82,8,888
42,26,10,680
97,52,93,13857
89,88,34,6018
83,56,46,6394
74,71,47,6815
43,9,65,3380
69,58,85,10795
88,50,52,7176
85,81,51,8466
14,27,46,1886
41,90,50,6550
86,60,24,3504
11,95,71,7526
88,75,35,5705
43,14,5,285
42,61,29,2987
76,85,60,9660
49,12,90,5490
15,80,42,3990
86,15,89,8989
54,31,30,2550
87,12,15,1485
77,9,37,3182
66,43,65,7085
99,71,11,1870
3,14,27,459
23,22,0,0
94,14,89,9612
66,52,31,3658
17,41,23,1334
11,48,87,5133
25,5,7,210
63,4,52,3484
23,20,80,3440
69,51,37,4440
63,25,16,1408
3,16,29,551
39,68,7,749
71,99,35,5950
0,86,97,8342
72,10,23,1886
24,29,94,4982
28,61,25,2225
33,97,42,5460
11,66,17,1309
61,57,11,1298
21,70,11,1001
51,0,88,4488
82,10,50,4600
9,71,58,4640
36,82,47,5546
17,32,80,3920
64,84,10,1480
88,6,28,2632
23,50,87,6351
75,91,64,10624
59,95,46,7084
26,66,5,460
57,55,34,3808
78,32,61,6710
66,15,87,7047
54,12,56,3696
76,98,32,5568
78,4,99,8118
51,8,31,1829
12,96,33,3564
67,81,75,11100
40,37,42,3234
54,17,6,426
17,77,6,564
33,94,80,10160
18,30,19,912
58,60,61,7198
16,27,70,3010
58,5,89,5607
83,45,75,9600
49,23,42,3024
14,93,47,5029
76,21,95,9215
45,19,86,5504
43,25,95,6460
92,34,45,5670
54,7,75,4575
20,21,89,3649
24,44,44,2992
33,15,68,3264
9,62,29,2059
67,1,47,3196
15,70,38,3230
64,59,80,9840
12,32,75,3300
96,46,31,4402
15,77,29,2668
30,83,36,4068
77,48,20,2500
74,48,30,3660
81,85,42,6972
40,0,15,600
20,51,90,6390
98,16,99,11286
78,92,75,12750
14,84,43,4214
95,55,19,2850
94,5,35,3465
85,42,32,4064
70,71,91,12831
45,38,96,7968
80,94,96,16704
2,27,40,1160
9,88,9,873
64,94,17,2686
17,3,38,760
26,59,82,6970
95,36,36,4716
85,0,94,7990
33,65,78,7644
61,28,43,3827
88,38,95,11970
53,28,8,648
0,59,61,3599
11,62,82,5986
60,73,31,4123
3,5,12,96
92,61,63,9639
7,47,83,4482
9,45,26,1404
85,90,60,10500
33,1,34,1156
7,91,26,2548
0,28,37,1036
61,98,49,7791
5,72,43,3311
